"Maneuver Number","Segment","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Est./Act. Finite Burn Duration (sec)","Delta V (m/sec)","Fuel Used (kg)"
51,"Sequence1.Sequence.Maneuver",10 Jun 2019 18:32:43.019,10 Jun 2019 20:08:43.019,5760.000,5760.000,0.097205,0.001
52,"Sequence1.Sequence.Maneuver",10 Jun 2019 21:45:04.436,10 Jun 2019 23:21:04.436,5760.000,5760.000,0.097206,0.001
53,"Sequence1.Sequence.Maneuver",11 Jun 2019 00:57:25.354,11 Jun 2019 02:33:25.354,5760.000,5760.000,0.097207,0.001
54,"Sequence1.Sequence.Maneuver",11 Jun 2019 04:09:46.136,11 Jun 2019 05:45:46.136,5760.000,5760.000,0.097208,0.001
55,"Sequence1.Sequence.Maneuver",11 Jun 2019 07:22:06.432,11 Jun 2019 08:58:06.432,5760.000,5760.000,0.097209,0.001
56,"Sequence1.Sequence.Maneuver",11 Jun 2019 10:34:26.054,11 Jun 2019 12:10:26.054,5760.000,5760.000,0.097210,0.001
57,"Sequence1.Sequence.Maneuver",11 Jun 2019 13:46:45.145,11 Jun 2019 15:22:45.145,5760.000,5760.000,0.097211,0.001
58,"Sequence1.Sequence.Maneuver",11 Jun 2019 16:59:04.135,11 Jun 2019 18:35:04.135,5760.000,5760.000,0.097212,0.001
59,"Sequence1.Sequence.Maneuver",11 Jun 2019 20:11:22.489,11 Jun 2019 21:47:22.489,5760.000,5760.000,0.097213,0.001
60,"Sequence1.Sequence.Maneuver",11 Jun 2019 23:23:40.166,12 Jun 2019 00:59:40.166,5760.000,5760.000,0.097214,0.001
61,"Sequence1.Sequence.Maneuver",15 Jun 2019 02:42:25.204,15 Jun 2019 04:18:25.204,5760.000,5760.000,0.097215,0.001
62,"Sequence1.Sequence.Maneuver",15 Jun 2019 05:54:42.013,15 Jun 2019 07:30:42.013,5760.000,5760.000,0.097216,0.001
63,"Sequence1.Sequence.Maneuver",15 Jun 2019 09:06:58.151,15 Jun 2019 10:42:58.151,5760.000,5760.000,0.097217,0.001
64,"Sequence1.Sequence.Maneuver",15 Jun 2019 12:19:13.667,15 Jun 2019 13:55:13.667,5760.000,5760.000,0.097218,0.001
65,"Sequence1.Sequence.Maneuver",15 Jun 2019 15:31:28.938,15 Jun 2019 17:07:28.938,5760.000,5760.000,0.097219,0.001
66,"Sequence1.Sequence.Maneuver",15 Jun 2019 18:43:43.883,15 Jun 2019 20:19:43.883,5760.000,5760.000,0.097220,0.001
67,"Sequence1.Sequence.Maneuver",15 Jun 2019 21:55:58.058,15 Jun 2019 23:31:58.058,5760.000,5760.000,0.097221,0.001
68,"Sequence1.Sequence.Maneuver",16 Jun 2019 01:08:11.756,16 Jun 2019 02:44:11.756,5760.000,5760.000,0.097222,0.001
69,"Sequence1.Sequence.Maneuver",16 Jun 2019 04:20:25.322,16 Jun 2019 05:56:25.322,5760.000,5760.000,0.097223,0.001
70,"Sequence1.Sequence.Maneuver",16 Jun 2019 07:32:38.369,16 Jun 2019 09:08:38.369,5760.000,5760.000,0.097224,0.001
71,"Sequence1.Sequence.Maneuver",16 Jun 2019 10:44:50.750,16 Jun 2019 12:20:50.750,5760.000,5760.000,0.097225,0.001
72,"Sequence1.Sequence.Maneuver",16 Jun 2019 13:57:02.621,16 Jun 2019 15:33:02.621,5760.000,5760.000,0.097225,0.001
73,"Sequence1.Sequence.Maneuver",16 Jun 2019 17:09:14.387,16 Jun 2019 18:45:14.387,5760.000,5760.000,0.097226,0.001
74,"Sequence1.Sequence.Maneuver",16 Jun 2019 20:21:25.497,16 Jun 2019 21:57:25.497,5760.000,5760.000,0.097227,0.001
75,"Sequence1.Sequence.Maneuver",16 Jun 2019 23:33:35.947,17 Jun 2019 01:09:35.947,5760.000,5760.000,0.097228,0.001
76,"Sequence1.Sequence.Maneuver",17 Jun 2019 02:45:46.135,17 Jun 2019 04:21:46.135,5760.000,5760.000,0.097229,0.001
77,"Sequence1.Sequence.Maneuver",17 Jun 2019 05:57:56.064,17 Jun 2019 07:33:56.064,5760.000,5760.000,0.097230,0.001
78,"Sequence1.Sequence.Maneuver",17 Jun 2019 09:10:05.317,17 Jun 2019 10:46:05.317,5760.000,5760.000,0.097231,0.001
79,"Sequence1.Sequence.Maneuver",17 Jun 2019 12:22:13.952,17 Jun 2019 13:58:13.952,5760.000,5760.000,0.097232,0.001
80,"Sequence1.Sequence.Maneuver",17 Jun 2019 15:34:22.350,17 Jun 2019 17:10:22.350,5760.000,5760.000,0.097233,0.001
81,"Sequence1.Sequence.Maneuver",17 Jun 2019 18:46:30.413,17 Jun 2019 20:22:30.413,5760.000,5760.000,0.097234,0.001
82,"Sequence1.Sequence.Maneuver",17 Jun 2019 21:58:37.706,17 Jun 2019 23:34:37.706,5760.000,5760.000,0.097235,0.001
83,"Sequence1.Sequence.Maneuver",18 Jun 2019 01:10:44.530,18 Jun 2019 02:46:44.530,5760.000,5760.000,0.097236,0.001
84,"Sequence1.Sequence.Maneuver",18 Jun 2019 04:22:51.220,18 Jun 2019 05:58:51.220,5760.000,5760.000,0.097237,0.001
85,"Sequence1.Sequence.Maneuver",18 Jun 2019 07:34:57.383,18 Jun 2019 09:10:57.383,5760.000,5760.000,0.097238,0.001
