"Maneuver Number","Segment","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Est./Act. Finite Burn Duration (sec)","Delta V (m/sec)","Fuel Used (kg)"
1,"Sequence1.Sequence.Maneuver",1 Jun 2019 01:53:01.967,1 Jun 2019 03:29:01.967,5760.000,5760.000,0.097157,0.001
2,"Sequence1.Sequence.Maneuver",1 Jun 2019 05:05:47.060,1 Jun 2019 06:41:47.060,5760.000,5760.000,0.097158,0.001
3,"Sequence1.Sequence.Maneuver",1 Jun 2019 08:18:31.570,1 Jun 2019 09:54:31.570,5760.000,5760.000,0.097159,0.001
4,"Sequence1.Sequence.Maneuver",1 Jun 2019 11:31:15.441,1 Jun 2019 13:07:15.441,5760.000,5760.000,0.097160,0.001
5,"Sequence1.Sequence.Maneuver",1 Jun 2019 14:43:58.907,1 Jun 2019 16:19:58.907,5760.000,5760.000,0.097161,0.001
6,"Sequence1.Sequence.Maneuver",1 Jun 2019 17:56:42.203,1 Jun 2019 19:32:42.203,5760.000,5760.000,0.097162,0.001
7,"Sequence1.Sequence.Maneuver",1 Jun 2019 21:09:24.744,1 Jun 2019 22:45:24.744,5760.000,5760.000,0.097163,0.001
8,"Sequence1.Sequence.Maneuver",2 Jun 2019 00:22:06.711,2 Jun 2019 01:58:06.711,5760.000,5760.000,0.097164,0.001
9,"Sequence1.Sequence.Maneuver",2 Jun 2019 03:34:48.497,2 Jun 2019 05:10:48.497,5760.000,5760.000,0.097165,0.001
10,"Sequence1.Sequence.Maneuver",2 Jun 2019 06:47:29.898,2 Jun 2019 08:23:29.898,5760.000,5760.000,0.097166,0.001
11,"Sequence1.Sequence.Maneuver",2 Jun 2019 10:00:10.618,2 Jun 2019 11:36:10.618,5760.000,5760.000,0.097167,0.001
12,"Sequence1.Sequence.Maneuver",2 Jun 2019 13:12:50.751,2 Jun 2019 14:48:50.751,5760.000,5760.000,0.097168,0.001
13,"Sequence1.Sequence.Maneuver",2 Jun 2019 16:25:30.768,2 Jun 2019 18:01:30.768,5760.000,5760.000,0.097169,0.001
